exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
111.0,z,236.662458333333,-5.94622222222222,DECaLS_18295_z,1202411
175.0,r,267.48425,15.5961944444444,DECaLS_47065_r,670782
104.0,z,232.228666666667,-3.24175,DECaLS_1112_z,1202407
160.0,z,184.660833333333,26.5025555555556,DECaLS_41295_z,646835
77.0,g,3.11500416666667,-8.284,DECaLS_28494_g,763332
200.0,g,9.018125,-8.40052777777778,DECaLS_44402_g,663097
118.0,r,154.366,16.876,DECaLS_19178_r,522103
200.0,g,118.067166666667,18.7513055555556,DECaLS_42494_g,782862
175.0,g,235.128458333333,6.05088888888889,DECaLS_31767_g,650237
152.0,z,238.530208333333,-9.81738888888889,DECaLS_2451_z,1202393
200.0,g,232.519416666667,-12.1360277777778,DECaLS_2460_g,1202671
200.0,g,230.473166666667,-13.8829444444444,DECaLS_18344_g,1202670
165.0,g,228.10225,-15.5503888888889,DECaLS_18358_g,1202669
159.0,g,225.984625,-15.6091666666667,DECaLS_2485_g,1202668
160.0,g,225.096,-14.2198055555556,DECaLS_18341_g,1202667
144.0,g,11.475,26.238,DECaLS_33944_g,789907
200.0,g,37.6009958333333,23.559,DECaLS_30611_g,770166
149.0,g,226.870958333333,-14.139,DECaLS_18342_g,1202664
175.0,g,207.536,-1.66880555555556,DECaLS_33086_g,636041
140.0,g,228.560583333333,-9.55055555555556,DECaLS_18307_g,1202663
127.0,g,221.910708333333,-12.7028888888889,DECaLS_2454_g,1202665
157.0,g,235.668416666667,-8.949,DECaLS_18311_g,1202661
76.0,g,124.817,24.823,DECaLS_10809_g,392419
170.0,g,231.2325,-10.8075277777778,DECaLS_2447_g,1202662
167.0,g,233.473125,-1.71358333333333,DECaLS_32848_g,1202646
78.0,r,311.149416666667,-10.8489444444444,DECaLS_32388_r,771826
64.0,g,322.911,-11.849,DECaLS_51104_g,768984
200.0,g,241.699625,-10.3994444444444,DECaLS_2419_g,1202657
120.0,g,229.69225,-6.45819444444444,DECaLS_16971_g,1202644
139.0,g,231.635458333333,-4.80711111111111,DECaLS_1094_g,1202645
79.0,g,140.648,18.862,DECaLS_10699_g,511482
83.0,z,131.181625,7.95861111111111,DECaLS_10610_z,603090
124.0,g,226.846958333333,-9.60533333333333,DECaLS_18306_g,1202643
77.0,g,218.38625,34.49667,Bootes_22_g,433326
