,ra,dec,u,g,r,i,z,Y
154,284.192833333333,-34.2364166666667,False,False,False,False,True,False
155,285.2315,-39.1678611111111,False,False,False,False,True,False
156,293.335291666667,-35.2336388888889,False,False,False,False,True,False
157,289.541458333333,-35.5314722222222,False,False,False,False,True,False
158,280.035375,-39.9474444444444,False,False,False,False,True,False
159,288.668208333333,-39.7597777777778,False,False,False,False,True,False
160,288.240166666667,-38.1092222222222,False,False,False,False,True,False
161,39.1433333333333,-83.4365833333333,False,False,False,True,False,False
162,241.682875,-12.7541388888889,False,False,False,False,True,False
163,243.033375,-13.7634722222222,False,False,False,False,True,False
164,286.675958333333,-31.5443888888889,False,False,False,False,True,False
165,253.436958333333,-19.0394722222222,False,False,False,False,True,False
166,122.06425,-59.2374722222222,False,False,True,False,False,False
167,146.875791666667,-10.5699722222222,False,False,False,True,False,False
168,149.95725,-14.3661944444444,False,False,False,True,False,False
169,168.733875,-14.7644166666667,False,False,False,True,False,False
170,122.452083333333,-10.3634444444444,False,False,False,True,False,False
171,123.295291666667,-7.61563888888889,False,False,False,True,False,False
172,141.115458333333,-9.15005555555556,False,False,False,True,False,False
173,123.113791666667,-1.81691666666667,False,False,False,True,False,False
174,122.808333333333,-6.11127777777778,False,False,False,True,False,False
175,118.76875,-3.75058333333333,False,False,False,True,False,False
176,78.086,-5.57430555555556,False,False,False,True,False,False
177,83.5452916666666,-4.60708333333333,False,False,False,True,False,False
178,83.56075,-9.25677777777778,False,False,False,True,False,False
179,121.100291666667,-11.54325,False,False,False,True,False,False
180,0.151416666666667,-39.1025833333333,False,False,False,True,False,False
181,326.229291666667,-6.79422222222222,False,False,False,True,False,False
182,327.483791666667,-13.02525,False,False,False,True,False,False
183,7.21125,-39.1527777777778,False,False,False,True,False,False
184,127.86175,-14.8296666666667,False,False,False,True,False,False
185,130.272041666667,-16.5203055555556,False,False,False,True,False,False
186,133.412708333333,-2.87977777777778,False,False,False,True,False,False
187,124.748291666667,-1.32302777777778,False,False,False,True,False,False
188,128.419375,-16.344,False,False,False,True,False,False
189,89.3050833333333,-12.9203333333333,False,False,False,True,False,False
190,111.704458333333,-55.4983611111111,False,False,False,True,False,False
191,98.2965416666666,-15.6113888888889,False,False,False,True,False,False
192,96.701875,-14.7249444444444,False,False,False,True,False,False
193,98.15,-13.8288055555556,False,False,False,True,False,False
194,84.8654166666667,-7.39583333333333,False,False,False,True,False,False
195,329.421083333333,-37.5866666666667,False,False,False,True,False,False
196,59.9180833333333,-2.59647222222222,False,False,False,True,False,False
197,64.1009166666667,-3.64686111111111,False,False,False,True,False,False
198,69.2552916666667,-15.2267777777778,False,False,False,True,False,False
199,55.6617083333333,-10.4105277777778,False,False,False,True,False,False
200,322.021083333333,-23.1843055555556,False,False,False,True,False,False
201,317.984083333333,-6.85422222222222,False,False,False,True,False,False
202,169.66525,-15.2058055555556,False,False,False,True,False,False
203,150.826083333333,-15.0567222222222,False,False,False,True,False,False
204,150.699333333333,-15.8840833333333,False,False,False,True,False,False
205,120.998958333333,-5.84427777777778,False,False,False,True,False,False
206,117.161916666667,-2.89527777777778,False,False,False,True,False,False
207,139.090416666667,-12.2980833333333,False,False,False,True,False,False
208,123.443708333333,-13.3867222222222,False,False,False,True,False,False
209,145.183625,-10.6232777777778,False,False,False,True,False,False
210,7.12454166666667,-39.1020833333333,False,False,False,True,False,False
211,4.97475,-41.7412222222222,False,False,False,True,False,False
212,2.64633333333333,-36.4937777777778,False,False,False,True,False,False
213,2.562125,-41.7261111111111,False,False,False,True,False,False
214,326.981333333333,-8.34927777777778,False,False,False,True,False,False
215,130.95125,-13.6204444444444,False,False,False,True,False,False
216,108.06075,-42.3269722222222,False,False,False,True,False,False
217,135.16975,-19.8250277777778,False,False,False,True,False,False
218,80.5065833333333,-11.0647777777778,False,False,False,True,False,False
219,67.6575416666667,-8.19547222222222,False,False,False,True,False,False
220,87.654375,-11.0911388888889,False,False,False,True,False,False
221,95.5270833333333,-18.2533333333333,False,False,False,True,False,False
222,83.5455416666667,-4.61361111111111,False,False,False,True,False,False
223,320.488333333333,-38.5803888888889,False,False,False,True,False,False
224,64.2750416666667,-9.76158333333333,False,False,False,True,False,False
225,63.3842083333333,-13.0173611111111,False,False,False,True,False,False
226,328.987416666667,-35.6554722222222,False,False,False,True,False,False
227,320.9865,-32.4154444444444,False,False,False,True,False,False
228,321.8775,-33.99975,False,False,False,True,False,False
229,321.307875,-21.6387777777778,False,False,False,True,False,False
230,144.203625,-12.2121388888889,False,False,False,True,False,False
231,141.809666666667,-10.70575,False,False,False,True,False,False
232,152.768791666667,-11.8693611111111,False,False,False,True,False,False
233,153.717958333333,-10.2835555555556,False,False,False,True,False,False
234,149.517208333333,-8.91186111111111,False,False,False,True,False,False
235,137.23175,-12.9946111111111,False,False,False,True,False,False
236,117.480583333333,-4.67561111111111,False,False,False,True,False,False
237,122.945625,-11.8733888888889,False,False,False,True,False,False
238,121.963208333333,-8.85730555555556,False,False,False,True,False,False
239,4.88741666666667,-41.7580833333333,False,False,False,True,False,False
240,86.4114166666667,-0.906166666666667,False,False,False,True,False,False
241,2.56220833333333,-41.7584722222222,False,False,False,True,False,False
242,0.1495,-39.1361666666667,False,False,False,True,False,False
243,315.003791666667,-35.2653888888889,False,False,False,False,True,False
244,314.504708333333,-38.2648888888889,False,False,False,False,True,False
245,76.1891666666667,-10.1201944444444,False,False,False,True,False,False
246,307.212375,-35.6411388888889,False,False,False,False,True,False
247,310.900166666667,-39.2999444444444,False,False,False,False,True,False
248,310.113083333333,-37.6521111111111,False,False,False,False,True,False
249,312.886166666667,-35.0111111111111,False,False,False,False,True,False
250,306.442458333333,-38.5143888888889,False,False,False,False,True,False
251,302.913791666667,-34.7738333333333,False,False,False,False,True,False
252,305.214833333333,-30.7885,False,False,False,False,True,False
253,299.610958333333,-31.0405833333333,False,False,False,False,True,False
254,298.826166666667,-39.7803888888889,False,False,False,False,True,False
255,287.831833333333,-36.4636944444444,False,False,False,False,True,False
256,281.181208333333,-39.2605,False,False,False,False,True,False
257,280.383916666667,-34.35525,False,False,False,False,True,False
258,287.432125,-34.8243333333333,False,False,False,False,True,False
259,280.638291666667,-35.9929722222222,False,False,False,False,True,False
260,280.903458333333,-37.6273055555556,False,False,False,False,True,False
261,300.44275,-38.6873611111111,False,False,False,False,True,False
262,297.549041666667,-30.5124722222222,False,False,False,False,True,False
263,298.652375,-33.7540277777778,False,False,False,False,True,False
264,298.225833333333,-38.1151944444444,False,False,False,False,True,False
265,123.676666666667,-2.82341666666667,False,False,False,True,False,False
266,327.159875,-3.17647222222222,False,False,False,True,False,False
267,116.649583333333,-55.3241388888889,False,False,False,True,False,False
268,127.316375,-13.3202222222222,False,False,False,True,False,False
269,104.396958333333,-58.14,False,False,False,True,False,False
270,96.5822916666666,-12.9336666666667,False,False,False,True,False,False
271,111.328666666667,-46.4872777777778,False,False,False,True,False,False
272,86.430375,-0.972472222222222,False,False,False,True,False,False
273,58.64275,-1.33902777777778,False,False,False,True,False,False
274,323.920333333333,-34.0623888888889,False,False,False,True,False,False
275,60.21,-0.830944444444444,False,False,False,True,False,False
276,67.8875,-14.2850277777778,False,False,False,True,False,False
277,322.999666666667,-32.4829444444444,False,False,False,True,False,False
278,324.883666666667,-35.647,False,False,False,True,False,False
279,296.023958333333,-37.5088611111111,False,False,False,False,True,False
280,317.825208333333,-14.6576666666667,False,False,False,True,False,False
281,320.614125,-20.0978888888889,False,False,False,True,False,False
282,299.450875,-25.1430555555556,False,True,False,False,False,False
283,299.226041666667,-35.3865833333333,False,False,False,False,True,False
284,287.579708333333,-32.4193611111111,False,False,False,False,True,False
285,287.689833333333,-24.9046666666667,False,False,False,False,True,False
286,288.475333333333,-20.6416666666667,False,False,False,False,True,False
287,290.604625,-15.4195,False,False,False,False,True,False
288,292.372875,-16.16375,False,False,False,False,True,False
289,287.200958333333,-30.7772222222222,False,False,False,False,True,False
290,293.314833333333,-15.9538611111111,False,False,False,False,True,False
291,288.426041666667,-28.2046944444444,False,False,False,False,True,False
292,288.794541666667,-37.3501111111111,False,False,False,False,True,False
293,286.483333333333,-27.4808888888889,False,False,False,False,True,False
294,151.043083333333,-11.9491944444444,False,False,False,True,False,False
295,135.011,-2.85652777777778,False,False,False,True,False,False
296,142.98625,-5.94986111111111,False,False,False,True,False,False
297,120.521625,-4.33091666666667,False,False,False,True,False,False
298,125.289,-13.6520277777778,False,False,False,True,False,False
299,126.331958333333,-16.6901388888889,False,False,False,True,False,False
300,84.9938333333333,-7.47013888888889,False,False,False,True,False,False
301,90.5824583333333,-9.27602777777778,False,False,False,True,False,False
302,86.432875,-0.96125,False,False,False,True,False,False
303,329.2035,-12.9716388888889,False,False,False,True,False,False
304,4.88541666666667,-41.7242222222222,False,False,False,True,False,False
305,326.035583333333,-9.93577777777778,False,False,False,True,False,False
306,106.708333333333,-55.47325,False,False,False,True,False,False
307,121.579583333333,-6.85966666666667,False,False,False,True,False,False
308,119.1265,-58.8086111111111,False,False,False,True,False,False
309,124.187708333333,-4.32252777777778,False,False,False,True,False,False
310,121.369166666667,-57.4123611111111,False,False,False,True,False,False
311,98.674875,-18.2224444444444,False,False,False,True,False,False
312,109.372958333333,-47.3893333333333,False,False,False,True,False,False
313,86.4151666666667,-0.912416666666667,False,False,False,True,False,False
314,110.8425,-44.7800833333333,False,False,False,True,False,False
315,119.396166666667,-50.5140277777778,False,False,False,True,False,False
316,84.872625,-11.9943333333333,False,False,False,True,False,False
317,87.8435416666667,-9.29877777777778,False,False,False,True,False,False
318,86.384875,-10.2214444444444,False,False,False,True,False,False
319,320.496083333333,-27.7720833333333,False,False,False,True,False,False
320,324.998166666667,-32.5160277777778,False,False,False,True,False,False
321,317.495666666667,-16.9983888888889,False,False,False,True,False,False
322,318.139416666667,-18.53175,False,False,False,True,False,False
323,285.554208333333,-31.6931944444444,False,False,False,False,True,False
324,294.364541666667,-38.5309722222222,False,False,False,False,True,False
325,282.435291666667,-35.1223055555556,False,False,False,False,True,False
326,282.736333333333,-36.7602222222222,False,False,False,False,True,False
327,283.56125,-30.9435277777778,False,False,False,False,True,False
328,152.932333333333,-8.77652777777778,False,False,False,True,False,False
329,143.496416666667,-10.6681944444444,False,False,False,True,False,False
330,153.34025,-16.4588055555556,False,False,False,True,False,False
331,138.764041666667,-7.60952777777778,False,False,False,True,False,False
332,120.061166666667,-2.78666666666667,False,False,False,True,False,False
333,140.123958333333,-10.7336944444444,False,False,False,True,False,False
334,124.4635,-16.42625,False,False,False,True,False,False
335,121.840625,-3.09438888888889,False,False,False,True,False,False
336,76.7422083333333,-4.65002777777778,False,False,False,True,False,False
337,117.88225,-6.36275,False,False,False,True,False,False
338,84.964875,-10.1733611111111,False,False,False,True,False,False
339,7.125875,-39.1353055555556,False,False,False,True,False,False
340,7.21104166666667,-39.1200555555556,False,False,False,True,False,False
341,326.759958333333,-11.4861666666667,False,False,False,True,False,False
342,129.702125,-15.0047777777778,False,False,False,True,False,False
343,127.68275,-19.1778055555556,False,False,False,True,False,False
344,131.516458333333,-6.07716666666667,False,False,False,True,False,False
345,322.353625,-13.1216666666667,False,False,False,True,False,False
346,101.697458333333,-58.9219444444444,False,False,False,True,False,False
347,114.438833333333,-56.3484444444444,False,False,False,True,False,False
348,89.1155,-12.0124722222222,False,False,False,True,False,False
349,95.0437916666666,-12.02825,False,False,False,True,False,False
350,65.0622916666667,-6.35297222222222,False,False,False,True,False,False
351,62.8186666666667,-2.72122222222222,False,False,False,True,False,False
352,320.208791666667,-16.2251388888889,False,False,False,True,False,False
353,318.926875,-13.1310833333333,False,False,False,True,False,False
